watchlist_type,watchlist_name,exchange_code,stock_symbol
Stocks in Index,S&P 500 stocks,,HUBB
Stocks in Index,S&P 500 stocks,,CMS
Stocks in Index,S&P 500 stocks,,WAT
Stocks in Index,S&P 500 stocks,,AMCR
Stocks in Index,S&P 500 stocks,,NTRS
Stocks in Index,S&P 500 stocks,,PTC
Stocks in Index,S&P 500 stocks,,EXPE
Stocks in Index,S&P 500 stocks,,LII
Stocks in Index,S&P 500 stocks,,LDOS
Stocks in Index,S&P 500 stocks,,INVH
Stocks in Index,S&P 500 stocks,,NTAP
Stocks in Index,S&P 500 stocks,,DOW
Stocks in Index,S&P 500 stocks,,LH
Stocks in Index,S&P 500 stocks,,DVN
Stocks in Index,S&P 500 stocks,,TSN
Stocks in Index,S&P 500 stocks,,PHM
Stocks in Index,S&P 500 stocks,,WSM
Stocks in Index,S&P 500 stocks,,IFF
Stocks in Index,S&P 500 stocks,,STLD
Stocks in Index,S&P 500 stocks,,RF
Stocks in Index,S&P 500 stocks,,DECK
Stocks in Index,S&P 500 stocks,,MKC
Stocks in Index,S&P 500 stocks,,DGX
Stocks in Index,S&P 500 stocks,,DLTR
Stocks in Index,S&P 500 stocks,,CTRA
Stocks in Index,S&P 500 stocks,,MAA
Stocks in Index,S&P 500 stocks,,ULTA
Stocks in Index,S&P 500 stocks,,BIIB
Stocks in Index,S&P 500 stocks,,GPN
Stocks in Index,S&P 500 stocks,,L
Stocks in Index,S&P 500 stocks,,WY
Stocks in Index,S&P 500 stocks,,ERIE
Stocks in Index,S&P 500 stocks,,ESS
Stocks in Index,S&P 500 stocks,,ZBH
Stocks in Index,S&P 500 stocks,,NI
Stocks in Index,S&P 500 stocks,,LYB
Stocks in Index,S&P 500 stocks,,LUV
Stocks in Index,S&P 500 stocks,,JBL
Stocks in Index,S&P 500 stocks,,ON
Stocks in Index,S&P 500 stocks,,GPC
Stocks in Index,S&P 500 stocks,,FDS
Stocks in Index,S&P 500 stocks,,WDC
Stocks in Index,S&P 500 stocks,,PFG
Stocks in Index,S&P 500 stocks,,CFG
Stocks in Index,S&P 500 stocks,,GEN
Stocks in Index,S&P 500 stocks,,PKG
Stocks in Index,S&P 500 stocks,,KEY
Stocks in Index,S&P 500 stocks,,HAL
Stocks in Index,S&P 500 stocks,,TRMB
Stocks in Index,S&P 500 stocks,,SNA
Stocks in Index,S&P 500 stocks,,MOH
Stocks in Index,S&P 500 stocks,,FSLR
Stocks in Index,S&P 500 stocks,,RL
Stocks in Index,S&P 500 stocks,,DPZ
Stocks in Index,S&P 500 stocks,,NWS
