watchlist_type,watchlist_name,exchange_code,stock_symbol
Stocks in Index,S&P 500 stocks,XNYS,EIX
Stocks in Index,S&P 500 stocks,XNYS,NVR
Stocks in Index,S&P 500 stocks,XNAS,TROW
Stocks in Index,S&P 500 stocks,XNYS,HUBB
Stocks in Index,S&P 500 stocks,XNYS,CMS
Stocks in Index,S&P 500 stocks,XNYS,WAT
Stocks in Index,S&P 500 stocks,XNYS,AMCR
Stocks in Index,S&P 500 stocks,XNAS,NTRS
Stocks in Index,S&P 500 stocks,XNAS,PTC
Stocks in Index,S&P 500 stocks,XNAS,EXPE
Stocks in Index,S&P 500 stocks,XNYS,LII
Stocks in Index,S&P 500 stocks,XNYS,LDOS
Stocks in Index,S&P 500 stocks,XNYS,INVH
Stocks in Index,S&P 500 stocks,XNAS,NTAP
Stocks in Index,S&P 500 stocks,XNYS,DOW
Stocks in Index,S&P 500 stocks,XNYS,LH
Stocks in Index,S&P 500 stocks,XNYS,DVN
Stocks in Index,S&P 500 stocks,XNYS,TSN
Stocks in Index,S&P 500 stocks,XNYS,PHM
Stocks in Index,S&P 500 stocks,XNYS,WSM
Stocks in Index,S&P 500 stocks,XNYS,IFF
Stocks in Index,S&P 500 stocks,XNAS,STLD
Stocks in Index,S&P 500 stocks,XNYS,RF
Stocks in Index,S&P 500 stocks,XNYS,DECK
Stocks in Index,S&P 500 stocks,XNYS,MKC
Stocks in Index,S&P 500 stocks,XNYS,DGX
Stocks in Index,S&P 500 stocks,XNAS,DLTR
Stocks in Index,S&P 500 stocks,XNYS,CTRA
Stocks in Index,S&P 500 stocks,XNYS,MAA
Stocks in Index,S&P 500 stocks,XNAS,ULTA
Stocks in Index,S&P 500 stocks,XNAS,BIIB
Stocks in Index,S&P 500 stocks,XNYS,GPN
Stocks in Index,S&P 500 stocks,XNYS,L
Stocks in Index,S&P 500 stocks,XNYS,WY
Stocks in Index,S&P 500 stocks,XNAS,ERIE
Stocks in Index,S&P 500 stocks,XNYS,ESS
Stocks in Index,S&P 500 stocks,XNYS,ZBH
Stocks in Index,S&P 500 stocks,XNYS,NI
Stocks in Index,S&P 500 stocks,XNYS,LYB
Stocks in Index,S&P 500 stocks,XNYS,LUV
Stocks in Index,S&P 500 stocks,XNYS,JBL
Stocks in Index,S&P 500 stocks,XNAS,ON
Stocks in Index,S&P 500 stocks,XNYS,GPC
Stocks in Index,S&P 500 stocks,XNYS,FDS
Stocks in Index,S&P 500 stocks,XNAS,WDC
Stocks in Index,S&P 500 stocks,XNAS,PFG
Stocks in Index,S&P 500 stocks,XNYS,CFG
Stocks in Index,S&P 500 stocks,XNAS,GEN
Stocks in Index,S&P 500 stocks,XNYS,PKG
Stocks in Index,S&P 500 stocks,XNYS,KEY
Stocks in Index,S&P 500 stocks,XNYS,HAL
Stocks in Index,S&P 500 stocks,XNAS,TRMB
Stocks in Index,S&P 500 stocks,XNYS,SNA
